No,Test_ID,Test_Label,Section Types,Sections,L,t,h,b,A,Pt,BC,Failure Mode,FM,Py,Fy,Pt/Py,"P(crl_s,crd_s)",KL_r,λc,Pne,λ(le-d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3_31,FFC-5-1000-L/2,C-2U,Closed,1000.12,1.5,49.95,50.03,435.06,80.68,Fixed,L,L,164.24,377.51,0.49,71.32,20.76,0.51,147.60,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,4_1,C3-D160-300-A1,O-2C,Open,1499,2.46,163,130,2142.3,358.88,Fixed,D,D,606.27,283.00,0.59,236.41,11.54,0.16,599.71,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,4_2,C3-D160-300-A2,O-2C,Open,1499,2.45,164,130,2149,358.62,Fixed,D,D,608.17,283.00,0.59,236.41,11.54,0.16,601.59,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,4_3,C3-D160-300-A3,O-2C,Open,1498,2.45,167,130,2163.7,368.51,Fixed,D,D,612.33,283.00,0.60,236.41,11.54,0.16,605.71,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,4_4,C3-D160-600-A1,O-2C,Open,1499,2.45,162,131,2140.5,349.79,Fixed,D,D,605.76,283.00,0.58,236.41,11.54,0.21,594.51,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,4_5,C3-D160-600-A2,O-2C,Open,1498,2.44,161,127,2125.8,347.95,Fixed,D,D,601.6,283.00,0.58,236.41,11.54,0.21,590.43,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,4_6,C3-D160-600-A3,O-2C,Open,1499,2.45,161,130,2166.8,362.44,Fixed,D,D,613.2,283.00,0.59,236.41,11.54,0.21,601.82,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,4_7,C3-D160-1000-A1,O-2C,Open,1500,2.44,163,130,2138,352.05,Fixed,D,D,605.05,283.00,0.58,236.41,11.55,0.30,582.83,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,4_8,C3-D160-1000-A2,O-2C,Open,1498,2.47,163,131,2160,358.55,Fixed,D,D,611.28,283.00,0.59,236.41,11.54,0.30,588.84,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,4_9,C3-D160-1000-A3,O-2C,Open,1498,2.45,165,130,2151.5,344.78,Fixed,D,D,608.87,283.00,0.57,236.41,11.54,0.30,586.52,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,4_10,C3-D180-300-A1,O-2C,Open,1498,2.46,188,141,2357.7,360.25,Fixed,D,D,667.23,283.00,0.54,217.24,10.86,0.15,660.86,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,4_11,C3-D180-300-A2,O-2C,Open,1499,2.48,189,141,2391.7,365,Fixed,D,D,676.85,283.00,0.54,217.24,10.87,0.15,670.38,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,4_12,C3-D180-300-A3,O-2C,Open,1498,2.47,188,141,2384.1,367.82,Fixed,D,D,674.7,283.00,0.55,217.24,10.86,0.15,668.26,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,4_13,C3-D180-600-A1,O-2C,Open,1498,2.45,187,143,2382.2,354.6,Fixed,D,D,674.16,283.00,0.53,217.24,10.86,0.20,663.17,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4_14,C3-D180-600-A2,O-2C,Open,1499,2.47,189,140,2394,361.2,Fixed,D,D,677.5,283.00,0.53,217.24,10.87,0.20,666.44,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4_15,C3-D180-600-A3,O-2C,Open,1498,2.46,189,142,2387.2,354.88,Fixed,D,D,675.58,283.00,0.53,217.24,10.86,0.20,664.57,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4_16,C3-D180-1000-A1,O-2C,Open,1498,2.47,189,140,2379.6,356.51,Fixed,D,D,673.43,283.00,0.53,217.24,10.86,0.28,651.79,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4_17,C3-D180-1000-A2,O-2C,Open,1498,2.47,182,141,2381.7,353.65,Fixed,D,D,674.02,283.00,0.52,217.24,10.86,0.28,652.36,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4_18,C3-D180-1000-A3,O-2C,Open,1498,2.45,182,142,2365.1,350.87,Fixed,D,D,669.32,283.00,0.52,217.24,10.86,0.28,647.81,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,5_1,C5-L120-45-A1,HC-2C+U,Half-Closed,360,1.2,122,52,882.4,145.97,Fixed,L,L,258.5,292.95,0.56,77.93,5.96,0.08,257.78,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,5_2,C5-L120-45-A2,HC-2C+U,Half-Closed,360,1.2,122,52,879.8,145.98,Fixed,L,L,257.74,292.95,0.57,77.93,5.96,0.08,257.02,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,5_3,C5-L120-45-A3,HC-2C+U,Half-Closed,360,1.2,122,52,882.4,147.01,Fixed,L,L,258.5,292.95,0.57,77.93,5.96,0.08,257.78,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,5_4,C5-L120-90-A1,HC-2C+U,Half-Closed,360,1.2,122,52,884.4,145.75,Fixed,L,L,259.08,292.94,0.56,77.93,5.96,0.10,257.99,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,5_5,C5-L120-90-A2,HC-2C+U,Half-Closed,360,1.2,122,52,877.7,142.19,Fixed,L,L,257.12,292.95,0.55,77.93,5.96,0.10,256.03,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,5_6,C5-L120-90-A3,HC-2C+U,Half-Closed,360,1.2,122,52,878.3,143.2,Fixed,L,L,257.3,292.95,0.56,77.93,5.96,0.10,256.21,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
